county_name,ev_location,ev_address,ev_city_state_zip,ev_location_type,ev_dates,ev_hours,ev_notes
Adams County,County Clerk's Office,507 Vermont ST,"Quincy, IL  62301",Permanent Early Voting with Grace Period Registration,"February 6th, 2020 and concludes March 16, 2020","8:30 A.M. TO 4:30 P.M. Monday thru Friday, except Holidays", 
Alexander County,Alexander County Courthouse,2000 Washington Avenue,"Cairo, IL  62914",Temporary Early Voting Location,"February 6, 2020 and conclude March 16, 2020","8:00 A.M. to 12:00 P.M.and 1:00 P.M. to 4:00 P.M. Monday thru Friday, except Holidays",Closed for lunch daily from 12:00 Noon to 1:00 P.M.
Bond County,Bond County Clerk's Office,203 W College,"Greenville, IL  62246",Temporary Early Voting Location,"Begins Feb. 6, 2020 thru March 16, 2020","8:00 A.M. to 4 P.M. Monday thru Friday, closed Holidays", 
Boone County,County Clerk's Office,1212 Logan Ave,"Belvidere, IL  61008",Permanent Early Voting with Grace Period Registration,"Begins February 6, 2020 and will end March 16, 2020","8:30am to 5:00pm Monday-Friday, except Holidays","Grace Period Registration/Voting will occur also on Election Day.  We will also be open 9am-Noon on Saturday March 14, 2020"
Boone County,County Clerk's Office,1212 Logan Ave,"Belvidere, IL  61008",Grace Period on Election Day Location,"March 17, 2020",6AM-7PM, 
Brown County,Brown County Clerk’s Office,200 Court Street,"Mt. Sterling, IL  62353",Temporary Early Voting Location,"Feb 6 thru March 16, 2020",8:30 A.M. to 4:30 P.M.  Monday thru Friday,Except for holidays
Bureau County,County Clerk's Office,700 S Main St,"PRINCETON, IL  61356-2527",Temporary Early Voting Location,"FEBRUARY 6, 2020 THRU FEBRUARY 18, 2020",8:00 AM TO 4:00 PM    MONDAY-FRIDAY, 
Bureau County,Spring Valley City Hall,215 N Greenwood St,"Spring Valley, IL  61362",Temporary Early Voting with Grace Period Registration,"MARCH 3, 2020 TO MARCH 13, 2020",9:00 AM to 3:00 PM  MONDAY-FRIDAY, 
Bureau County,Princeton Moose Lodge,1339 N Euclid Ave,"Princeton, IL  61356",Temporary Early Voting with Grace Period Registration,"MARCH 3, 2020 TO MARCH 13, 2020",8:00 AM TO 4:00 PM  MONDAY-FRIDAY, 
Calhoun County,County Clerk's Office,301 S County Road,"Hardin, IL  62047",Temporary Early Voting with Grace Period Registration,"Begins February 6, 2020 and concludes March 16, 2020  Saturday hours on March 7, 2020 from 9:00 a.m. - 12:00 p.m.  March 14, 2020 from 8:30 a.m. - 1:30 p.m.","8:30 a.m. - 4:30 p.m. Monday thru Friday, except Holidays",For all Precincts
Carroll County,Carroll County Courthouse,301 N Main Street,"Mount Carroll, IL  61053",Temporary Early Voting Location,"February 6, 2020 thru March 16, 2020","8:30 a.m. to 4:30 p.m., Monday thru Friday", 
Cass County,Beardstown City Clerk's Office,105 W 3rd St,"Beardstown, IL  62618",Temporary Early Voting Location,"Begins February 24, 2020 and concludes March 16, 2020","8:00 A.M. to 5:00 P.M. Monday thru Friday, except Holidays",Precincts 1 - 12
Cass County,Beardstown City Clerk's Office,105 W 3rd St,"Beardstown, IL  62618",Temporary Early Voting Location,"February 29, 2020 and March 14, 2020",9:00 A.M. to 12:00 P.M.,Precincts 1 - 12
Cass County,Cass County Clerk's Office,100 E Springfield St,"Virginia, IL  62691",Temporary Early Voting Location,"Begins February 6, 2020 and concludes March 16, 2020",Monday thru Friday 8:00 a.m. - 4:00 p.m.,Precincts 1-21
Champaign County,Champaign County Clerk's Office,1776 E Washington St,"Urbana, IL  61802",Permanent Early Voting with Grace Period Registration,"Thursday February 6 -  March 6, 2020",8:00am - 4:30pm,ALL RESIDENTS
Champaign County,Illini Union,1401 W Green St,"Urbana, IL  61801",Temporary Early Voting with Grace Period Registration,"Monday March 2 - Friday March 13, 2020",10:00 A.M. TO 6:00 P.M.,ALL RESIDENTS
Champaign County,Meadowbrook Community Church,1902 S Duncan Rd,"Champaign, IL  61822",Temporary Early Voting with Grace Period Registration,"Monday March 9 - Friday March 13, 2020",10:00am - 6:00pm,ALL RESIDENTS
Champaign County,Leonhard Recreation Center,2307 Sangamon Dr,"Champaign, IL  61821",Temporary Early Voting with Grace Period Registration,"Monday March 9 - Friday March 13, 2020 ",10:00am - 6:00pm,ALL RESIDENTS
Champaign County,Church of the Living God,312 W Bradley Ave,"Champaign, IL  61820",Temporary Early Voting with Grace Period Registration,"Monday March 9 - Friday March 13,2020",10:00am - 6:00pm,ALL RESIDENTS
Champaign County,Elk's Pavilion (Lake of the Woods),301 Senna Dr.,"Mahomet, IL  61853",Temporary Early Voting with Grace Period Registration,"Monday March 9 - Friday March 13, 2020",10:00 - 6:00pm,ALL RESIDENTS
Champaign County,Tolono Public Library,111 E Main St,"Tolono, IL  61880",Temporary Early Voting with Grace Period Registration,"Monday March 9 - Friday March 13, 2020",10:00am - 6:00pm,ALL RESIDENTS
Champaign County,Prince of Peace Lutheran,802 E Douglas,"St. Joseph, IL  61873",Temporary Early Voting with Grace Period Registration,"Monday March 9 - Friday March 13, 2020",10:00am - 6:00pm,ALL RESIDENTS
Champaign County,First United Methodist Church (The Gathering Place),200 S Century Blvd,"Rantoul, IL  61866",Temporary Early Voting with Grace Period Registration,"Monday, March 9 - Friday March 13, 2020",10:00am - 6:00pm,ALL RESIDENTS
Champaign County,Activities & Recreation Center (ARC),201 E Peabody Dr,"Champaign, IL  61820",Temporary Early Voting with Grace Period Registration,"Monday March 2 - Friday March 6, 2020 ",10:00am - 6:00pm,ALL RESIDENTS
Christian County,Christian County Courthouse,101 S Main St,"Taylorville, IL  62568",Permanent Early Voting with Grace Period Registration,"Begins on February 6, 2020 and concludes March 16, 2020","8:00 A.M. TO 4:00 P.M. Monday thru Friday, except Holidays", 
Clark County,Clark County Courthouse,501 Archer AVE,"Marshall, IL  62441",Permanent Early Voting with Grace Period Registration,"Begins February 6, 2020 and Registration or transfer of registration concludes on February 18, 2020",8:00 A.M. TO 4:00 P.M. MONDAY THRU FRIDAY , 
Clay County,County Clerk's Office,111 E Chestnut,"Louisville, IL  62858",Temporary Early Voting Location,"February 6, 2020 thru March 16, 2020","8:00 a.m. - 4:00 p.m., Monday - Friday, Closed Holidays", 
Clay County,Christ's Church (formerly McEndree School),202 N Olive Street,"Flora, IL  62839",Grace Period on Election Day Location,"March 17, 2020","6:00 a.m. - 7:00 p.m., Tuesday", 
Clinton County,County Clerk's Office,850 Fairfax Street,"Carlyle, IL  62231",Temporary Early Voting Location,"Begins on February 6, 2020 and concludes March 16, 2020",Monday - Friday 8:00 am to 4:30 pm,Closed on Holidays
Coles County,County Clerk's Office,651 Jackson Ave,"Charleston, IL  61920",Temporary Early Voting Location,"Begins February 6, 2020 and concludes March 16, 2020.","8:30 AM to 4:30 PM Monday though Friday, except Holidays.", 
Coles County,Mattoon City Hall,208 N 19th St,"Mattoon, IL  61938",Temporary Early Voting Location,"Begins February 6, 2020 and concludes March 16, 2020.","8:00 AM to 4:30 PM Monday through Friday, except Holidays.", 
Cook County,Alsip Village Hall,4500 W 123rd St,"Alsip, IL  60803",Permanent Early Voting with Grace Period Registration,"March 2 thru March 6,  2020",Monday thru Friday 9:00 AM to 5:00 PM, 
Cook County,Arlington Heights Village Hall,33 S Arlington Heights Rd,"Arlington Heights, IL  60005",Permanent Early Voting with Grace Period Registration,"March 2 thru March 6, 2020",Monday thru Friday 9:00 AM to 5:00 PM, 
Cook County,Barrington Hills Village Hall,112 Algonquin Rd,"Barrington Hills, IL  60010",Permanent Early Voting with Grace Period Registration,"March 2 thru March 6, 2020",Monday thru Friday 9:00 AM to 5:00 PM, 
Cook County,Bellwood Village Hall,3200 Washington Blvd,"Bellwood, IL  60104",Permanent Early Voting with Grace Period Registration,"March 2 thru March 6, 2020",Monday thru Friday 9:00 AM to 5:00 PM, 
Cook County,Berwyn City Hall,6700 W 26th St,"Berwyn, IL  60402",Permanent Early Voting with Grace Period Registration,"March 2 thru March 6, 2020",Monday thru Friday 9:00 AM to 5:00 PM, 
Cook County,Brookfield Village Hall,8820 Brookfield Ave,"Brookfield, IL  60513",Permanent Early Voting with Grace Period Registration,"March 2 thru March 6, 2020",Monday thru Friday 9:00 AM to 5:00 PM, 
Cook County,Burbank (Prairie Trails Library District) ,8449 S Moody Ave,"Burbank, IL  60459",Permanent Early Voting with Grace Period Registration,"March 2 thru March 6, 2020",Monday thru Friday 9:00 AM to 5:00 PM, 
Cook County,Calumet City Public Library,660 S Manistee Ave,"Calumet City, IL  60827",Permanent Early Voting with Grace Period Registration,"March 2 thru March 6, 2020",Monday thru Friday 9:00 AM to 5:00 PM, 
Cook County,Calumet Township Community Center,12633 S Ashland Ave,"Calumet Park, IL  60827",Permanent Early Voting with Grace Period Registration,"March 2 thru March 6, 2020",Monday thru Friday 9:00 AM to 5:00 PM, 
Cook County,Cicero Community Center ,2250 S 49th Ave,"Cicero, IL  60804",Permanent Early Voting with Grace Period Registration,"March 2 thru March 6, 2020",Monday thru Friday 9:00 AM to 5:00 PM, 
Cook County,Cicero PSO Building ,5410 W 34th St,"Cicero, IL  60804",Permanent Early Voting with Grace Period Registration,"March 2 thru March 6, 2020",Monday thru Friday 9:00 AM to 5:00 PM, 
Cook County,Crestwood (Andrew Biela Senior Citizen Center) ,4545 Midlothian Turnpike,"Crestwood, IL  60445",Permanent Early Voting with Grace Period Registration,"March 2 thru March 6, 2020",Monday thru Friday 9:00 AM to 5:00 PM, 
Cook County,Des Plaines Public Library ,1501 Ellinwood St,"Des Plaines, IL  60016",Permanent Early Voting with Grace Period Registration,"March 2 thru March 6, 2020",Monday thru Friday 9:00 AM to 5:00 PM, 
Cook County,Elk Grove Village Hall ,901 Wellington Ave,"Elk Grove Village, IL  60007",Permanent Early Voting with Grace Period Registration,"March 2 thru March 6, 2020",Monday thru Friday 9:00 AM to 5:00 PM, 
Cook County,Elmwood Park Village Hall ,11 W Conti Parkway,"Elmwood Park, IL  60707",Permanent Early Voting with Grace Period Registration,"March 2 thru March 6, 2020",Monday thru Friday 9:00 AM to 5:00 PM, 
Cook County,Evanston Civic Center ,2100 Ridge Ave,"Evanston, IL  60201",Permanent Early Voting with Grace Period Registration,"March 2 thru March 6, 2020",Monday thru Friday 9:00 AM to 5:00 PM, 
Cook County,Franklin Park Village Hall ,9500 Belmont Ave,"Franklin Park, IL  60131",Permanent Early Voting with Grace Period Registration,"March 2 thru March 6, 2020",Monday thru Friday 9:00 AM to 5:00 PM, 
Cook County,Glenview Village Hall ,2500 E Lake Ave,"Glenview, IL  60025",Permanent Early Voting with Grace Period Registration,"March 2 thru March 6, 2020",Monday thru Friday 9:00 AM to 5:00 PM , 
Cook County,Hodgkins Village Hall ,8990 Lyons St,"Hodgkins, IL  60525",Permanent Early Voting with Grace Period Registration,"March 2 thru March 6, 2020",Monday thru Friday 9:00 AM to 5:00 PM, 
Cook County,Hoffman Estates Village Hall ,1900 Hassell Rd,"Hoffman Estates, IL  60169",Permanent Early Voting with Grace Period Registration,"March 2 thru March 6, 2020",Monday thru Friday 9:00 AM to 5:00 PM, 
Cook County,Lansing Public Library ,2750 Indiana Ave,"Lansing, IL  60438",Permanent Early Voting with Grace Period Registration,"March 2 thru March 6, 2020",Monday thru Friday 9:00 AM to 5:00 PM, 
Cook County,Lemont Township Hall,1115 Warner Ave,"Lemont, IL  60439",Permanent Early Voting with Grace Period Registration,"March 2 thru March 6, 2020",Monday thru Friday 9:00 AM to 5:00 PM, 
Cook County,Lynwood Senior Youth Center,21490 Lincoln Hwy,"Lynwood, IL  60411",Permanent Early Voting with Grace Period Registration,"March 2 thru March 6, 2020",Monday thru Friday 9:00 AM to 5:00 PM, 
Cook County,Matteson Community Center,20642 Matteson Ave,"Matteson, IL  60443",Permanent Early Voting with Grace Period Registration,"March 2 thru March 6, 2020",Monday thru Friday 9:00 AM to 5:00 PM, 
